code,Social_Housing
E02000001,0.165336374
E02000002,0.417618872
E02000003,0.116327595
E02000004,0.160051769
E02000005,0.249136035
E02000007,0.483289741
E02000008,0.38379438
E02000009,0.305728518
E02000010,0.363001215
E02000011,0.126256007
E02000012,0.145794966
E02000013,0.37792
E02000014,0.400169924
E02000015,0.505993691
E02000016,0.353783231
E02000017,0.097838036
E02000018,0.422429345
E02000019,0.34717608
E02000020,0.36416185
E02000021,0.19159037
E02000022,0.632014719
E02000023,0.522830111
E02000024,0.052068127
E02000025,0.141358366
E02000026,0.053285256
E02000027,0.339811066
E02000028,0.035988678
E02000029,0.095644748
E02000030,0.112903226
E02000031,0.08200213
E02000032,0.029540481
E02000033,0.140488393
E02000034,0.098148692
E02000035,0.129251701
E02000036,0.126331811
E02000037,0.201942891
E02000038,0.096567054
E02000039,0.040643863
E02000040,0.249150623
E02000041,0.109935897
E02000042,0.086858177
E02000043,0.024136651
E02000044,0.308176101
E02000045,0.21425144
E02000046,0.045804196
E02000047,0.311446977
E02000048,0.052854123
E02000049,0.622853369
E02000050,0.247858811
E02000051,0.061634153
E02000052,0.163824165
E02000053,0.154747226
E02000054,0.06813266
E02000055,0.14381431
E02000056,0.053982301
E02000057,0.060569106
E02000058,0.056046453
E02000059,0.236090226
E02000060,0.073529412
E02000061,0.030580076
E02000062,0.301230378
E02000063,0.063124251
E02000064,0.253877551
E02000065,0.228005865
E02000066,0.502503294
E02000067,0.195251397
E02000068,0.239394936
E02000069,0.126252505
E02000070,0.076802014
E02000071,0.113587347
E02000072,0.44197374
E02000073,0.041078629
E02000074,0.360753532
E02000075,0.055485498
E02000077,0.096167247
E02000078,0.042160738
E02000079,0.04040404
E02000080,0.062398703
E02000081,0.141017386
E02000082,0.005065554
E02000083,0.179422836
E02000084,0.041577572
E02000085,0.043774319
E02000086,0.008246683
E02000087,0.040420115
E02000088,0.033176944
E02000089,0.051052087
E02000090,0.089853609
E02000091,0.162187427
E02000092,0.32659809
E02000093,0.117957746
E02000094,0.144631118
E02000095,0.127686878
E02000096,0.043288324
E02000097,0.108339029
E02000098,0.181749623
E02000099,0.135514019
E02000100,0.163575668
E02000101,0.316123188
E02000102,0.236378205
E02000103,0.257849031
E02000104,0.114776322
E02000105,0.141474808
E02000106,0.18614091
E02000107,0.15339664
E02000108,0.156963204
E02000109,0.149203431
E02000110,0.199730549
E02000111,0.13349348
E02000112,0.091286307
E02000113,0.591651543
E02000114,0.20606576
E02000115,0.263615444
E02000116,0.329427083
E02000117,0.472459952
E02000118,0.204282204
E02000119,0.663072776
E02000120,0.235679214
E02000121,0.093785742
E02000122,0.178864457
E02000123,0.339394969
E02000124,0.207198892
E02000125,0.213906214
E02000126,0.720792665
E02000127,0.35755102
E02000128,0.125083167
E02000130,0.190531178
E02000131,0.263674003
E02000132,0.150599829
E02000133,0.024741227
E02000134,0.170583627
E02000135,0.505452067
E02000136,0.193475306
E02000137,0.073962057
E02000138,0.03524772
E02000139,0.133978763
E02000140,0.449863678
E02000141,0.147626841
E02000142,0.059396893
E02000144,0.052466719
E02000145,0.363744076
E02000146,0.081812999
E02000147,0.037071945
E02000148,0.06570452
E02000149,0.209602955
E02000150,0.092312641
E02000151,0.016366065
E02000152,0.313000381
E02000153,0.034265734
E02000154,0.090191315
E02000155,0.085704939
E02000156,0.050883095
E02000157,0.019393939
E02000158,0.224254743
E02000159,0.02400873
E02000160,0.026954178
E02000161,0.022558623
E02000162,0.177570093
E02000163,0.066080729
E02000165,0.048309179
E02000166,0.359626802
E02000167,0.083769634
E02000168,0.292503536
E02000169,0.074439157
E02000170,0.112890095
E02000171,0.258709309
E02000172,0.588867654
E02000173,0.146539647
E02000174,0.413657771
E02000175,0.203413608
E02000176,0.087703159
E02000177,0.491073739
E02000178,0.327336449
E02000179,0.319163763
E02000180,0.382439599
E02000181,0.153677878
E02000182,0.183260209
E02000183,0.291162072
E02000184,0.458002736
E02000185,0.454545455
E02000186,0.279122298
E02000187,0.695440729
E02000188,0.617350158
E02000189,0.558810475
E02000190,0.437283873
E02000191,0.231171548
E02000192,0.506074074
E02000193,0.279480519
E02000194,0.244449866
E02000195,0.076610563
E02000196,0.174696436
E02000197,0.185424625
E02000198,0.215098862
E02000199,0.110655738
E02000200,0.124114406
E02000201,0.294703723
E02000202,0.054679638
E02000203,0.224363161
E02000204,0.084551812
E02000206,0.261661262
E02000207,0.280345212
E02000208,0.291285004
E02000209,0.172661871
E02000210,0.11183625
E02000211,0.060994206
E02000212,0.248572388
E02000213,0.288701923
E02000214,0.055579492
E02000215,0.160288519
E02000216,0.115587847
E02000217,0.223028317
E02000218,0.348670325
E02000219,0.028009336
E02000220,0.155972767
E02000221,0.326952923
E02000222,0.096920034
E02000223,0.66573913
E02000224,0.074342702
E02000225,0.373707533
E02000226,0.011087268
E02000227,0.105132962
E02000228,0.025991792
E02000229,0.489432242
E02000230,0.069180819
E02000231,0.015729453
E02000232,0.104561102
E02000233,0.139272271
E02000234,0.129073078
E02000235,0.10467706
E02000236,0.050035236
E02000237,0.131391586
E02000238,0.120163573
E02000239,0.031805746
E02000240,0.323076923
E02000241,0.065511412
E02000242,0.047419805
E02000243,0.174054759
E02000244,0.070729872
E02000245,0.407476636
E02000246,0.330511234
E02000247,0.242876165
E02000248,0.035837354
E02000249,0.159912377
E02000250,0.040928768
E02000251,0.05036855
E02000252,0.238902341
E02000253,0.41159188
E02000254,0.083232811
E02000255,0.202374379
