code,Education
E02000001,0.706417466
E02000002,0.192623914
E02000003,0.253440194
E02000004,0.197189922
E02000005,0.192732721
E02000007,0.195714015
E02000008,0.174872431
E02000009,0.214872873
E02000010,0.192623734
E02000011,0.212909682
E02000012,0.263021676
E02000013,0.184693479
E02000014,0.179619146
E02000015,0.196728462
E02000016,0.385790173
E02000017,0.311360707
E02000018,0.201970443
E02000019,0.222156515
E02000020,0.254744907
E02000021,0.228705979
E02000022,0.271676301
E02000023,0.24478022
E02000024,0.492362736
E02000025,0.425906555
E02000026,0.420152946
E02000027,0.311923688
E02000028,0.438359303
E02000029,0.381836945
E02000030,0.420606251
E02000031,0.458174179
E02000032,0.401881225
E02000033,0.33793927
E02000034,0.42373167
E02000035,0.4870317
E02000036,0.375707014
E02000037,0.402530835
E02000038,0.431815054
E02000039,0.497361478
E02000040,0.413187754
E02000041,0.370790378
E02000042,0.464658169
E02000043,0.559071335
E02000044,0.327088212
E02000045,0.410093727
E02000046,0.526980482
E02000047,0.267085839
E02000048,0.494225644
E02000049,0.280530071
E02000050,0.44093105
E02000051,0.501450209
E02000052,0.567490764
E02000053,0.377422222
E02000054,0.461725888
E02000055,0.442961332
E02000056,0.601126232
E02000057,0.438558868
E02000058,0.551223677
E02000059,0.318124029
E02000060,0.429750803
E02000061,0.597737163
E02000062,0.322738386
E02000063,0.381023454
E02000064,0.427867699
E02000065,0.355295705
E02000066,0.261710285
E02000067,0.2464
E02000068,0.259042668
E02000069,0.243683589
E02000070,0.20613165
E02000071,0.191102757
E02000072,0.224725592
E02000073,0.213701989
E02000074,0.170409771
E02000075,0.213715278
E02000077,0.196093306
E02000078,0.217922607
E02000079,0.271310888
E02000080,0.208294646
E02000081,0.212641509
E02000082,0.215324293
E02000083,0.202588199
E02000084,0.255851064
E02000085,0.183239171
E02000086,0.225986449
E02000087,0.316687852
E02000088,0.230272861
E02000089,0.251016636
E02000090,0.29185022
E02000091,0.296172318
E02000092,0.207450524
E02000093,0.322042939
E02000094,0.293645251
E02000095,0.344994145
E02000096,0.460387812
E02000097,0.283425138
E02000098,0.389002415
E02000099,0.381196884
E02000100,0.479022836
E02000101,0.346416938
E02000102,0.230112453
E02000103,0.292603923
E02000104,0.363462763
E02000105,0.36647268
E02000106,0.269389628
E02000107,0.42462278
E02000108,0.336698071
E02000109,0.359765272
E02000110,0.438602682
E02000111,0.314847943
E02000112,0.29380805
E02000113,0.208690889
E02000114,0.408903021
E02000115,0.532382174
E02000116,0.284302759
E02000117,0.224116764
E02000118,0.249439282
E02000119,0.247097844
E02000120,0.512044738
E02000121,0.299092677
E02000122,0.459888385
E02000123,0.270608002
E02000124,0.524537837
E02000125,0.431160818
E02000126,0.296672644
E02000127,0.219836764
E02000128,0.337161768
E02000130,0.447242419
E02000131,0.458680234
E02000132,0.454343315
E02000133,0.480296255
E02000134,0.427635722
E02000135,0.294992801
E02000136,0.287886467
E02000137,0.440214657
E02000138,0.483693948
E02000139,0.442028986
E02000140,0.167470848
E02000141,0.361513022
