code,Divorced
E02000001,0.077572169
E02000002,0.10589172
E02000003,0.08245704
E02000004,0.073204974
E02000005,0.084407419
E02000007,0.095267843
E02000008,0.098527878
E02000009,0.096794568
E02000010,0.095700637
E02000011,0.0825
E02000012,0.052874473
E02000013,0.091524864
E02000014,0.097553957
E02000015,0.111548791
E02000016,0.067425725
E02000017,0.05861965
E02000018,0.090170339
E02000019,0.090818694
E02000020,0.082197802
E02000021,0.097443815
E02000022,0.083376222
E02000023,0.086164229
E02000024,0.074586978
E02000025,0.096030534
E02000026,0.07318038
E02000027,0.091055384
E02000028,0.076938449
E02000029,0.088257292
E02000030,0.070464768
E02000031,0.061362104
E02000032,0.050999201
E02000033,0.081237052
E02000034,0.081001904
E02000035,0.07350038
E02000036,0.070791124
E02000037,0.05288265
E02000038,0.072748676
E02000039,0.067998463
E02000040,0.074080815
E02000041,0.066927423
E02000042,0.075841741
E02000043,0.050434202
E02000044,0.086480301
E02000045,0.086132111
E02000046,0.060416314
E02000047,0.084675564
E02000048,0.067298948
E02000049,0.101244813
E02000050,0.077915571
E02000051,0.069581108
E02000052,0.075733001
E02000053,0.055780791
E02000054,0.071609954
E02000055,0.060960928
E02000056,0.05631257
E02000057,0.050589918
E02000058,0.070470219
E02000059,0.070792256
E02000060,0.044664693
E02000061,0.053847308
E02000062,0.081325301
E02000063,0.063240386
E02000064,0.080405003
E02000065,0.086813187
E02000066,0.110312414
E02000067,0.101842145
E02000068,0.09424369
E02000069,0.085789261
E02000070,0.074033835
E02000071,0.082044151
E02000072,0.104583679
E02000073,0.063492063
E02000074,0.106868956
E02000075,0.064228502
E02000077,0.07141703
E02000078,0.071774194
E02000079,0.074598972
E02000080,0.06411934
E02000081,0.090093031
E02000082,0.058921855
E02000083,0.106982872
E02000084,0.071952337
E02000085,0.072560203
E02000086,0.06049341
E02000087,0.074531175
E02000088,0.066361195
E02000089,0.065477139
E02000090,0.090137429
E02000091,0.077093869
E02000092,0.109105495
E02000093,0.045667314
E02000094,0.0458729
E02000095,0.047987236
E02000096,0.034193446
E02000097,0.055946022
E02000098,0.057557323
E02000099,0.051020408
E02000100,0.037529758
E02000101,0.069566411
E02000102,0.059722222
E02000103,0.069094724
E02000104,0.056566384
E02000105,0.051880318
E02000106,0.064933418
E02000107,0.066471053
E02000108,0.055300421
E02000109,0.051879699
E02000110,0.064221535
E02000111,0.049488701
E02000112,0.043673156
E02000113,0.086107091
E02000114,0.062332798
E02000115,0.076751947
E02000116,0.075444952
E02000117,0.091808068
E02000118,0.046233559
E02000119,0.092769702
E02000120,0.07173583
E02000121,0.040320391
E02000122,0.058922302
E02000123,0.085949973
E02000124,0.070542361
E02000125,0.06572717
E02000126,0.105654008
E02000127,0.109306209
E02000128,0.084461196
E02000130,0.090211433
E02000131,0.091842321
E02000132,0.099946048
E02000133,0.067197171
E02000134,0.09282891
E02000135,0.110046574
E02000136,0.067840835
E02000137,0.084513476
E02000138,0.08818829
E02000139,0.091433418
E02000140,0.104507513
E02000141,0.09181276
E02000142,0.075534658
E02000144,0.079209329
E02000145,0.112219451
E02000146,0.099124925
E02000147,0.054176425
E02000148,0.059456399
E02000149,0.098116947
E02000150,0.076911292
E02000151,0.055600848
E02000152,0.104023553
E02000153,0.066962088
E02000154,0.075439939
E02000155,0.087450508
E02000156,0.060451343
E02000157,0.062893082
E02000158,0.071774473
E02000159,0.065753918
E02000160,0.068932656
E02000161,0.069918699
E02000162,0.095386877
E02000163,0.084053794
E02000165,0.09508547
E02000166,0.094175203
E02000167,0.07720532
E02000168,0.073730684
E02000169,0.06814145
E02000170,0.067380885
E02000171,0.085040348
E02000172,0.085020243
E02000173,0.073403092
E02000174,0.087690408
E02000175,0.065284974
E02000176,0.069211103
E02000177,0.086271257
E02000178,0.085321101
E02000179,0.096606786
E02000180,0.0717829
E02000181,0.06951146
E02000182,0.070841702
E02000183,0.097897898
E02000184,0.068552775
E02000185,0.105153099
E02000186,0.078933967
E02000187,0.078766051
E02000188,0.064076246
E02000189,0.062278692
E02000190,0.066050395
E02000191,0.042598661
E02000192,0.083862345
E02000193,0.072508834
E02000194,0.095149254
E02000195,0.068904594
E02000196,0.064652262
E02000197,0.078748035
E02000198,0.102845731
E02000199,0.08945027
E02000200,0.100060827
E02000201,0.112222222
E02000202,0.070915619
E02000203,0.082878581
E02000204,0.066118008
E02000206,0.099719888
E02000207,0.098897825
E02000208,0.081390537
E02000209,0.067470665
E02000210,0.078525147
E02000211,0.09646205
E02000212,0.078177458
E02000213,0.087983707
E02000214,0.062709525
E02000215,0.086548369
E02000216,0.077047124
E02000217,0.093093886
E02000218,0.069512195
E02000219,0.054334365
E02000220,0.086348288
E02000221,0.092184369
E02000222,0.075994428
E02000223,0.100125381
E02000224,0.080700606
E02000225,0.088256102
E02000226,0.060038119
E02000227,0.108538982
E02000228,0.047186354
E02000229,0.103948773
E02000230,0.06660161
E02000231,0.044174136
E02000232,0.0692354
E02000233,0.077627471
E02000234,0.08008794
E02000235,0.070338059
E02000236,0.072564612
E02000237,0.079292267
E02000238,0.070711183
E02000239,0.055737705
E02000240,0.086435824
E02000241,0.067534427
E02000242,0.05044843
E02000243,0.070797763
E02000244,0.075321069
E02000245,0.095725367
E02000246,0.083578849
E02000247,0.078000514
E02000248,0.066111574
E02000249,0.068096251
E02000250,0.062828244
E02000251,0.054577185
E02000252,0.072060683
E02000253,0.09673043
E02000254,0.040602763
E02000255,0.071524966
E02000256,0.065743479
E02000257,0.065507905
E02000258,0.064155166
E02000259,0.066396761
E02000260,0.042580645
E02000261,0.069402465
E02000262,0.084041678
E02000263,0.042178498
E02000264,0.064260563
E02000265,0.08258904
E02000266,0.072537758
E02000267,0.07833935
E02000268,0.075420789
E02000269,0.060702875
E02000270,0.091220068
E02000271,0.069472157
E02000272,0.063140556
E02000274,0.043663688
E02000275,0.052503477
E02000276,0.065454545
E02000277,0.081811541
E02000278,0.092826355
E02000279,0.095723765
E02000280,0.095408468
E02000281,0.095132087
E02000282,0.10336316
E02000283,0.084495751
E02000284,0.091254753
E02000285,0.0621673
E02000286,0.084448875
E02000287,0.056397603
E02000288,0.07588213
E02000289,0.056108088
E02000290,0.091067285
E02000291,0.092893117
E02000292,0.079679653
E02000293,0.054127726
E02000294,0.077632362
E02000295,0.069191769
E02000296,0.074318326
E02000297,0.060586319
E02000298,0.060530809
E02000299,0.088406641
E02000300,0.081218274
E02000301,0.099918434
E02000302,0.077177177
E02000303,0.094928479
E02000304,0.051328502
E02000305,0.076020123
E02000306,0.101042625
E02000307,0.071239055
E02000308,0.07649755
E02000309,0.089511401
E02000311,0.070661896
E02000312,0.07201087
E02000313,0.11248429
E02000314,0.079535684
E02000315,0.096704981
E02000316,0.078660892
E02000317,0.100346592
E02000318,0.062138728
E02000319,0.072080505
E02000320,0.084643289
E02000321,0.099067812
E02000323,0.088439672
E02000324,0.08838607
E02000326,0.083005367
E02000327,0.082666667
E02000328,0.084986351
E02000329,0.086921037
E02000331,0.090045103
E02000332,0.088424717
E02000333,0.082323997
E02000334,0.080408793
E02000335,0.08079096
E02000337,0.09066241
E02000339,0.081369133
E02000340,0.077129701
E02000341,0.096497253
E02000342,0.0731569
E02000343,0.089239332
E02000344,0.070788018
E02000345,0.048543689
E02000346,0.101663586
E02000347,0.055525214
E02000348,0.077421745
E02000350,0.054036113
E02000351,0.057974922
E02000352,0.08052046
E02000353,0.06095679
E02000354,0.085819424
E02000355,0.067656295
E02000356,0.064489527
E02000357,0.107810781
E02000358,0.072462203
E02000359,0.064453879
E02000360,0.086146551
E02000361,0.071194379
E02000362,0.08586262
E02000363,0.09180738
E02000364,0.075552579
E02000365,0.066558734
E02000366,0.083751846
E02000367,0.061234691
E02000368,0.085982282
E02000369,0.074121001
E02000370,0.083406626
E02000371,0.058307152
E02000372,0.080470781
E02000373,0.093227254
E02000374,0.072437191
E02000375,0.080530071
E02000376,0.07123701
E02000377,0.07315289
E02000378,0.07967708
E02000379,0.077819123
E02000380,0.075031005
E02000381,0.067973246
E02000382,0.086759788
E02000383,0.071606698
E02000384,0.082595395
E02000385,0.061437677
E02000386,0.080434136
E02000387,0.06864564
E02000388,0.069806094
E02000389,0.070806567
E02000390,0.074390688
E02000391,0.082477435
E02000392,0.06411398
E02000393,0.054201599
E02000394,0.079503106
E02000395,0.068267513
E02000396,0.079681275
E02000397,0.091980766
E02000398,0.107594937
E02000400,0.089428191
E02000401,0.095530955
E02000402,0.104885057
E02000403,0.07270005
E02000404,0.081147254
E02000405,0.070982839
E02000406,0.091201142
E02000407,0.099874484
E02000408,0.086705202
E02000409,0.091865079
E02000410,0.075073421
E02000411,0.094079061
E02000412,0.08635883
E02000413,0.067731181
E02000414,0.073412347
E02000415,0.066057625
E02000416,0.091845073
E02000417,0.070754717
E02000418,0.076320501
E02000419,0.064910493
E02000420,0.093492517
E02000421,0.099363508
E02000422,0.090435066
E02000423,0.066380789
E02000424,0.076179165
E02000425,0.064116264
E02000426,0.08002871
E02000427,0.059993202
E02000428,0.08683068
E02000429,0.075831874
E02000430,0.074984147
E02000431,0.070673826
E02000432,0.074790223
E02000433,0.060070671
E02000434,0.054217736
E02000435,0.065470256
E02000436,0.041649226
E02000437,0.065037037
E02000438,0.066063205
E02000439,0.053278689
E02000440,0.038679868
E02000441,0.074438971
E02000442,0.043108504
E02000443,0.067757009
E02000444,0.037258716
E02000445,0.062390598
E02000447,0.049258475
E02000448,0.053171642
E02000449,0.048066717
E02000451,0.039270426
E02000452,0.056592504
E02000453,0.059461235
E02000454,0.046082123
E02000455,0.065383485
E02000456,0.056517132
E02000457,0.045535892
E02000459,0.06359375
E02000460,0.068845761
E02000461,0.063449024
E02000462,0.048911997
E02000463,0.064046351
E02000464,0.096710266
E02000465,0.109573429
E02000466,0.086876155
E02000467,0.112335101
