Code,WorkdayRatio
E02000001,0.020481844
E02000002,1.248847926
E02000003,1.09805422
E02000004,1.277536681
E02000005,1.313391624
E02000007,0.961290323
E02000008,1.233105948
E02000009,1.382803492
E02000010,1.287935416
E02000011,0.996617268
E02000012,1.312101911
E02000013,1.317547436
E02000014,1.262182843
E02000015,1.258612082
E02000016,0.662695329
E02000017,1.31874612
E02000018,1.333033438
E02000019,0.907854322
E02000020,0.872132381
E02000021,0.741811356
E02000022,1.070496402
E02000023,0.965589155
E02000024,0.953883723
E02000025,1.380291464
E02000026,1.440337668
E02000027,1.006924045
E02000028,1.179869881
E02000029,1.217758078
E02000030,1.227645556
E02000031,0.938980433
E02000032,1.436380256
E02000033,1.011492891
E02000034,1.335845502
E02000035,1.235650016
E02000036,1.374488229
E02000037,1.32602777
E02000038,1.317708986
E02000039,1.074706166
E02000040,0.88895751
E02000041,0.956158437
E02000042,1.052428529
E02000043,1.498442368
E02000044,1.314923428
E02000045,1.343262039
E02000046,1.135530547
E02000047,1.157439446
E02000048,1.355751968
E02000049,1.07878711
E02000050,1.234089516
E02000051,0.934003024
E02000052,1.271535335
E02000053,0.798109571
E02000054,1.203808887
E02000055,0.955036897
E02000056,1.229906542
E02000057,1.207486286
E02000058,1.152458277
E02000059,1.114794287
E02000060,1.187472814
E02000061,1.064426142
E02000062,0.574431458
E02000063,1.373325453
E02000064,1.294117647
E02000065,1.054325402
E02000066,1.334394464
E02000067,1.100767392
E02000068,0.814104683
E02000069,1.32152763
E02000070,1.54928192
E02000071,1.263194324
E02000072,1.110017974
E02000073,1.509997184
E02000074,1.312810839
E02000075,1.478422619
E02000077,1.464432797
E02000078,1.599874765
E02000079,0.641674145
E02000080,1.164341277
E02000081,1.143183201
E02000082,1.417438518
E02000083,0.878292135
E02000084,1.450517993
E02000085,1.400709849
E02000086,1.471781482
E02000087,1.261484687
E02000088,1.563346131
E02000089,1.508625703
E02000090,0.825309751
E02000091,1.065595422
E02000092,0.785766691
E02000093,1.179473285
E02000094,1.056535395
E02000095,1.207081153
E02000096,1.327393431
E02000097,1.300711485
E02000098,1.301441678
E02000099,1.175668377
E02000100,0.790649449
E02000101,1.100341941
E02000102,1.227459016
E02000103,0.867011231
E02000104,1.233503463
E02000105,1.339836925
E02000106,1.061506494
E02000107,1.384794716
E02000108,1.529384437
E02000109,0.714420222
E02000110,1.58661958
E02000111,1.165772852
E02000112,0.953883495
E02000113,0.981797844
E02000114,1.426761679
E02000115,1.659371269
E02000116,1.083743188
E02000117,1.173144531
