GEO_CODE,Pakistani,Bangladeshi,Back_African
E02000001,0.00543826,0.035508637,0.014715291
E02000002,0.025484566,0.023689878,0.139626705
E02000003,0.06545797,0.051330351,0.112550035
E02000004,0.007400958,0.013495864,0.097518502
E02000005,0.031960997,0.031960997,0.150595883
E02000007,0.008982827,0.017965654,0.235931308
E02000008,0.022790884,0.019192323,0.157936825
E02000009,0.04494382,0.024879615,0.167201712
E02000010,0.012576933,0.027294621,0.187316029
E02000011,0.015132409,0.042875158,0.19924338
E02000012,0.107954545,0.215662055,0.072134387
E02000013,0.01516428,0.02415052,0.164841337
E02000014,0.009526197,0.025570318,0.19077463
E02000015,0.006535948,0.016042781,0.262626263
E02000016,0.084893562,0.060015389,0.233393178
E02000017,0.20990099,0.090523338,0.097595474
E02000018,0.025089606,0.034306196,0.174603175
E02000019,0.022337238,0.029419777,0.213020975
E02000020,0.072452637,0.073988735,0.205837174
E02000021,0.016969336,0.023816612,0.273891039
E02000022,0.054833373,0.040179627,0.327345781
E02000023,0.019594819,0.05181003,0.344071737
E02000024,0.006769564,0.005415651,0.022474953
E02000025,0.008014248,0.005639656,0.040071238
E02000026,0.003725166,0.00455298,0.033940397
E02000027,0.005842012,0.008128016,0.081534163
E02000028,0.0125,0.005241935,0.045967742
E02000029,0.007658643,0.003555799,0.046498906
E02000030,0.016790442,0.002583145,0.035841137
E02000031,0.007153076,0.007868383,0.050786838
E02000032,0.015726496,0.011965812,0.023247863
E02000033,0.009433962,0.008046615,0.055493896
E02000034,0.010664479,0.010117583,0.046759639
E02000035,0.010355444,0.006717045,0.042821159
E02000036,0.021417179,0.005923901,0.109820005
E02000037,0.016020236,0.004777965,0.094435076
E02000038,0.013723285,0.008998875,0.056917885
E02000039,0.022299116,0.00615148,0.062283737
E02000040,0.02158516,0.008768971,0.09005059
E02000041,0.028192839,0.007893995,0.093600226
E02000042,0.018657473,0.007097952,0.039342932
E02000043,0.018284994,0.004098361,0.021752837
E02000044,0.018136851,0.009068425,0.114591921
E02000045,0.007659746,0.00624874,0.064503124
E02000046,0.012091234,0.006045617,0.03215169
E02000047,0.021747425,0.012399847,0.129912247
E02000048,0.021857923,0.004038964,0.056783084
E02000049,0.012711864,0.008225324,0.261964108
E02000050,0.0101635,0.009500663,0.073353955
E02000051,0.01393534,0.006688963,0.057971014
E02000052,0.00815827,0.006118703,0.046706098
E02000053,0.042678614,0.003301108,0.103984909
E02000054,0.019174898,0.009006392,0.091807089
E02000055,0.010576731,0.003192975,0.065655558
E02000056,0.012281659,0.002183406,0.02319869
E02000057,0.013472137,0.002449479,0.04654011
E02000058,0.012436665,0.003224321,0.038922156
E02000059,0.036942131,0.009822763,0.081998719
E02000060,0.008098103,0.00532161,0.039796391
E02000061,0.012122845,0.004310345,0.036099138
E02000062,0.022583859,0.011956161,0.115908336
E02000063,0.01971831,0.013458529,0.088262911
E02000064,0.01076716,0.012113055,0.08512786
E02000065,0.007074137,0.005942275,0.431239389
E02000066,0.005072464,0.001449275,0.329710145
E02000067,0.002581978,0.003356571,0.171959721
E02000068,0.004783259,0.002391629,0.203587444
E02000069,0.010008703,0.003046127,0.134029591
E02000070,0.003254973,0.002169982,0.070162749
E02000071,0.00069541,0.003129346,0.055632823
E02000072,0.002258186,0.002258186,0.219608581
E02000073,0.005980239,0.003120125,0.042641706
E02000074,0.003581895,0.003256268,0.115597525
E02000075,0.003412969,0.002654532,0.032233599
E02000077,0.007028112,0.004685408,0.041834003
E02000078,0.000704225,0.001408451,0.045070423
E02000079,0.001348163,0.007751938,0.022581732
E02000080,0.002598903,0.007219174,0.049379151
E02000081,0.003533569,0.005496663,0.034157833
E02000082,0.002124431,0.007587253,0.033687405
E02000083,0.001829587,0.0060115,0.053319394
E02000084,0.001877179,0.002413516,0.032984714
E02000085,0.00558109,0.00558109,0.023965857
E02000086,0.000752162,0.002256487,0.013915006
E02000087,0.003611557,0.002407705,0.02046549
E02000088,0.005862953,0.001465738,0.012825211
E02000089,0.00331004,0.002206694,0.022066936
E02000090,0.001473622,0.004126142,0.018567639
E02000091,0.009080258,0.009373169,0.023432923
E02000092,0.005496663,0.004711425,0.043580683
E02000093,0.041080844,0.009666081,0.058216169
E02000094,0.069811321,0.011859838,0.078436658
E02000095,0.049420071,0.004538578,0.040847201
E02000096,0.041484716,0.005094614,0.018922853
E02000097,0.059983103,0.007603492,0.047873838
E02000098,0.05738476,0.008153026,0.056444026
E02000099,0.053204966,0.009880922,0.062832531
E02000100,0.064848316,0.003061508,0.033676593
E02000101,0.049627792,0.008933002,0.104962779
E02000102,0.079597438,0.005184507,0.11558402
E02000103,0.063399779,0.007475083,0.118770764
E02000104,0.058779483,0.006739049,0.051291651
E02000105,0.060659011,0.004742886,0.052171742
E02000106,0.055140598,0.006810193,0.110720562
E02000107,0.046671625,0.004276683,0.07084418
E02000108,0.062386652,0.005077983,0.05513239
E02000109,0.064196365,0.009912674,0.069388718
E02000110,0.048224008,0.006481722,0.050298159
E02000111,0.061258278,0.008987701,0.052034059
E02000112,0.059210526,0.008603239,0.065283401
E02000113,0.033059906,0.013422819,0.218990803
E02000114,0.038899234,0.00496586,0.059797227
E02000115,0.010316369,0.002063274,0.061439707
E02000116,0.034068136,0.005761523,0.105961924
E02000117,0.0361861,0.004977982,0.195481524
E02000118,0.04391468,0.007528231,0.046925972
E02000119,0.02709848,0.002643754,0.250826173
E02000120,0.011726877,0.000756573,0.048231511
E02000121,0.042967774,0.005495878,0.033474894
E02000122,0.031986988,0.0056926,0.059365682
E02000123,0.021890547,0.001847903,0.129068941
E02000124,0.00970696,0.001465201,0.045787546
E02000125,0.017113095,0.005394345,0.052083333
E02000126,0.016892827,0.003323179,0.226253115
E02000127,0.001923605,0.000824402,0.073646606
E02000128,0.004690117,0.008710218,0.016080402
E02000130,0.006948305,0.008615898,0.077265147
E02000131,0.006018054,0.003209629,0.091474423
E02000132,0.004559635,0.00287977,0.041516679
E02000133,0.008229198,0.003047851,0.019506248
E02000134,0.002196924,0.004194128,0.033353305
E02000135,0.003830602,0.015322409,0.143434773
E02000136,0.003731343,0.002132196,0.036780384
E02000137,0.002587322,0.001293661,0.03072445
E02000138,0.005505181,0.001619171,0.027202073
E02000139,0.002359882,0.007669617,0.037463127
E02000140,0.003335355,0.008489994,0.073377805
E02000141,0.005291005,0.012138189,0.078120137
E02000142,0.006263702,0.004697776,0.021609771
E02000144,0.002702703,0.003513514,0.035135135
E02000145,0.002642396,0.00616559,0.099530241
E02000146,0.005244755,0.003205128,0.01981352
