,TFR,EDU,Pakistani,Bangladeshi,Black_African,INC,LOGPDENS,SOCHO,DIV,NONRG
TFR,1, , , , , , , , , 
EDU,-0.447,1, , , , , , , , 
Pakistani,0.297,-0.099,1, , , , , , , 
Bangladeshi,0.109,0.011,0.281,1, , , , , , 
Black_African,0.195,0.06,0.14,0.236,1, , , , , 
INC,-0.259,0.779,-0.128,-0.042,0.02,1, , , , 
LOGPDENS,0.117,-0.028,0.229,0.238,0.403,-0.086,1, , , 
SOCHO,0.302,-0.373,0.068,0.211,0.476,-0.461,0.373,1, , 
DIV,0.323,-0.563,-0.247,-0.213,-0.151,-0.528,-0.037,0.329,1, 
NONRG,-0.092,0.04,-0.365,-0.24,-0.176,-0.084,0.055,0.123,0.371,1
