"Model 1"," ","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","TFR"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2"," "," "," "," "," "," "," "," "," "," "," "," "
"3","Coefficients","p-value","Coefficients","p-value","Coefficients","p-value","Coefficients","p-value","Coefficients","p-value","Coefficients","p-value"
"4","1.765","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0.032","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","------","------","------","------","------","------","------","------","------","------","------","------"
"12","0.01","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","8130.8","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","------","------","------","------","------","------","------","------","------","------","------","------"
"15","neighbour","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","0.31","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","0.32","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1939.422","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","120.6","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1865.647","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","46.825","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
